Arduino #,CODE1,CODE2,CODE3,ALL,Analog,Digital,PWM,GPIO,ISSUES1,ISSUE2,ISSUE3
0,PA_0,J1_34,,,,D0,PWM_6,,,,
1,PA_1,,,,,D1,PWM_5,,,,
2,PA_2,,,,,D2,PWM_4,,,,
3,PA_3,,,,,D3,,,,,
4,PA_4,J2_78,,,,D4,PWM_2,,,,
5,PA_5,,,,,D5,PWM_1,,,,
6,PA_6,J2_20,,,,D6,PWM_0,,PWM_8,PWM_3,
7,PA_7,,,,,D7,,,,,
8,PA_8,J2_59,,,,D8,,,,,
9,PA_9,J1_33,,,,D9,,,,,
10,PA_10,J1_35,,,,D10,,,,,
11,PA_11,J1_28,,,,D11,,,,,
12,PA_12,J1_26,,,,D12,,,,,
13,PA_13,J1_75,,,,D13,,,,,
14,PA_14,J1_77,,,,D14,,,,,
15,PA_15,J2_73,,,A0,D15,PWM_7,,,,
16,PB_0,J2_75,,,A1,D16,PWM_8,,,,
17,PB_1,J2_77,,,A2,D17,PWM_9,,,,
18,PB_2,J1_68,J2_79???,,A3,D18,,,,,
19,PB_3,J1_63,J2_74??,,A4,D19,,,,,
20,PB_4,J1_65,J2_76???,,A5,D20,,,,,
21,PB_5,J2_78,,,A6,D21,,,,,
22,PB_6,J1_45,,,,,,,,,
23,PB_7,J1_43,,,,,,,,,
24,PB_8,J1_51,,,,,,,,,
25,PB_9,J1_58,,,,,,,,,
26,PB_10,,,,,,,,,,
27,PB_11,,,,,,,,,,
28,PB_12,,,,,,,,,,
29,PB_13,,,,,,,,,,
30,PB_14,J1_59,,,,,,,,,
31,PB_15,J1_61,,,,,,,,,
32,PC_0,,,,,,,,,,
33,PC_1,,,,,,,,,,
34,PC_2,J2_74,,,,,,,,,
35,PC_3,J2_76,,,,,,,,,
36,PC_4,,,,,,,,,,
37,PC_5,,,,,,,,,,
38,PC_6,J2_61,,,,,,,,,
39,PC_7,J2_63,,,,,,,,,
40,PC_8,,,,,,,,,,
41,PC_9,,,,,,,,,,
42,PC_10,,,,,,,,,,
43,PC_11,,,,,,,,,,
44,PC_12,,,,,,,,,,
45,PC_13,J2_46,,, ,,,GPIO_),,,
46,PC_14,,,,,,,,,,
47,PC_15,J2_48,,, ,,,GPIO_1,,,
48,PD_0,,,,,,,,,,
49,PD_1,,,,,,,,,,
50,PD_2,,,,,,,,,,
51,PD_3,J1_56,,,,,,,,,
52,PD_4,J2_50,,, ,,,GPIO_2,,,
53,PD_5,J2_52,,, ,,,GPIO_3,,,
54,PD_6,J1_55,,,,,,,,,
55,PD_7,J1_57,,,,,,,,,
56,PD_8,,,,,,,,,,
57,PD_9,,,,,,,,,,
58,PD_10,,,,,,,,,,
59,PD_11,,,,,,,,,,
60,PD_12,,,,,,,,,,
61,PD_13,,,,,,,,,,
62,PD_14,,,,,,,,,,
63,PD_15,,,,,,,,,,
64,PE_0,,,,,,,,,,
65,PE_1,,,,,,,,,,
66,PE_2,J1_66,,,,,,,,,
67,PE_3,J2_54,,, ,,,GPIO_4,,,
68,PE_4,,,,,,,,,,
69,PE_5,,,,,,,,,,
70,PE_6,,,,,,,,,,
71,PE_7,,,,,,,,,,
72,PE_8,,,,,,,,,,
73,PE_9,,,,,,,,,,
74,PE_10,,,,,,,,,,
75,PE_11,,,,,,,,,,
76,PE_12,,,,,,,,,,
77,PE_13,,,,,,,,,,
78,PE_14,,,,,,,,,,
79,PE_15,,,,,,,,,,
80,PF_0,,,,,,,,,,
81,PF_1,,,,,,,,,,
82,PF_2,,,,,,,,,,
83,PF_3,,,,,,,,,,
84,PF_4,,,,,,,,,,
85,PF_5,,,,,,,,,,
86,PF_6,,,,,,,,,,
87,PF_7,,,,,,,,,,
88,PF_8,,,,,,,,,,
89,PF_9,,,,,,,,,,
90,PF_10,,,,,,,,,,
91,PF_11,,,,,,,,,,
92,PF_12,,,,,,,,,,
93,PF_13,,,,,,,,,,
94,PF_14,,,,,,,,,,
95,PF_15,,,,,,,,,,
96,PG_0,,,,,,,,,,
97,PG_11,,,,,,,,,,
98,PG_2,,,,,,,,,,
99,PG_3,J2_56,,,,,,GPIO_5,,,
100,PG_4,,,,,,,,,,
101,PG_5,,,,,,,,,,
102,PG_6,,,,,,,,,,
103,PG_7,J2_65,,,,,PWM_4,,,,
104,PG_8,,,,,,,,,,
105,PG_9,J2_28,,,,,,,,,
106,PG_10,J2_58,,,,,,GPIO_6,,,
107,PG_11,,,,,,,,,,
