Arduino #,HEX,,CODE1,CODE2,CODE3,ALL,Analog,Digital,PWM,GPIO,ISSUES1,ISSUE2,ISSUE3
0,0x00,,PA_0,J1_34,,,,D0,PWM_6,,,,
1,0x01,,PA_1,,,,,D1,PWM_5,,,,
2,0x02,,PA_2,,,,,D2,PWM_4,,,,
3,0x03,,PA_3,,,,,D3,,,,,
4,0x04,,PA_4,J2_78,,,,D4,PWM_2,,,,
5,0x05,,PA_5,,,,,D5,PWM_1,,,,
6,0x06,,PA_6,J2_20,,,,D6,PWM_0,, , ,
7,0x07,,PA_7,,,,,D7,,,,,
8,0x08,,PA_8,J2_59,,,,D8,,,,,
9,0x09,,PA_9,J1_33,,,,D9,,,,,
10,0x0A,,PA_10,J1_35,,,,D10,,,,,
11,0x0B,,PA_11,J1_28,,,,D11,,,,,
12,0x0C,,PA_12,J1_26,,,,D12,,,,,
13,0x0D,,PA_13,J1_75,,,,D13,,,,,
14,0x0E,,PA_14,J1_77,,,,D14,,,,,
15,0x0F,,PA_15,J2_73,,,A0,D15,PWM_7,,,,
16,0x10,,PB_0,J2_75,,,A1,D16,PWM_8,,,,
17,0x11,,PB_1,J2_77,,,A2,D17,PWM_9,,,,
18,0x12,,PB_2,J1_68,J2_79???,,A3,D18,,,,,
19,0x13,,PB_3,J1_63,J2_74??,,A4,D19,,,,,
20,0x14,,PB_4,J1_65,J2_76???,,A5,D20,,,,,
21,0x15,,PB_5,J2_78,,,A6,D21,,,,,
22,0x16,,PB_6,J1_45,,,,,,,,,
23,0x17,,PB_7,J1_43,,,,,,,,,
24,0x18,,PB_8,J1_51,,,,,,,,,
25,0x19,,PB_9,J1_58,,,,,,,,,
26,0x1A,,PB_10,,,,,,,,,,
27,0x1B,,PB_11,,,,,,,,,,
28,0x1C,,PB_12,,,,,,,,,,
29,0x1D,,PB_13,,,,,,,,,,
30,0x1E,,PB_14,J1_59,,,,,,,,,
31,0x1F,,PB_15,J1_61,,,,,,,,,
32,0x20,,PC_0,,,,,,,,,,
33,0x21,,PC_1,,,,,,,,,,
34,0x22,,PC_2,J2_74,,,,,,,,,
35,0x23,,PC_3,J2_76,,,,,,,,,
36,0x24,,PC_4,,,,,,,,,,
37,0x25,,PC_5,,,,,,,,,,
38,0x26,,PC_6,J2_61,,,,,,,,,
39,0x27,,PC_7,J2_63,,,,,,,,,
40,0x28,,PC_8,,,,,,,,,,
41,0x29,,PC_9,,,,,,,,,,
42,0x2A,,PC_10,,,,,,,,,,
43,0x2B,,PC_11,,,,,,,,,,
44,0x2C,,PC_12,,,,,,,,,,
45,0x2D,,PC_13,J2_46,,, ,,,GPIO_0,,,
46,0x2E,,PC_14,,,,,,,,,,
47,0x2F,,PC_15,J2_48,,, ,,,GPIO_1,,,
48,0X30,,PD_0,,,,,,,,,,
49,0X31,,PD_1,,,,,,,,,,
50,0X32,,PD_2,,,,,,,,,,
51,0X33,,PD_3,J1_56,,,,,,,,,
52,0X34,,PD_4,J2_50,,, ,,,GPIO_2,,,
53,0X35,,PD_5,J2_52,,, ,,,GPIO_3,,,
54,0X36,,PD_6,J1_55,,,,,,,,,
55,0X37,,PD_7,J1_57,,,,,,,,,
56,0X38,,PD_8,,,,,,,,,,
57,0X39,,PD_9,,,,,,,,,,
58,0X3A,,PD_10,,,,,,,,,,
59,0X3B,,PD_11,,,,,,,,,,
60,0X3C,,PD_12,,,,,,,,,,
61,0X3D,,PD_13,,,,,,,,,,
62,0X3E,,PD_14,,,,,,,,,,
63,0X3F,,PD_15,,,,,,,,,,
64,0x40,,PE_0,,,,,,,,,,
65,0x41,,PE_1,,,,,,,,,,
66,0x42,,PE_2,J1_66,,,,,,,,,
67,0x43,,PE_3,J2_54,,, ,,,GPIO_4,,,
68,0x44,,PE_4,,,,,,,,,,
69,0x45,,PE_5,,,,,,,,,,
70,0x46,,PE_6,,,,,,,,,,
71,0x47,,PE_7,,,,,,,,,,
72,0x48,,PE_8,,,,,,,,,,
73,0x49,,PE_9,,,,,,,,,,
74,0X4A,,PE_10,,,,,,,,,,
75,0X4B,,PE_11,,,,,,,,,,
76,0X4C,,PE_12,,,,,,,,,,
77,0X4D,,PE_13,,,,,,,,,,
78,0X4E,,PE_14,,,,,,,,,,
79,0X4F,,PE_15,,,,,,,,,,
80,0X50,,PF_0,,,,,,,,,,
81,0X51,,PF_1,,,,,,,,,,
82,0X52,,PF_2,,,,,,,,,,
83,0X53,,PF_3,,,,,,,,,,
84,0X54,,PF_4,,,,,,,,,,
85,0X55,,PF_5,,,,,,,,,,
86,0X56,,PF_6,,,,,,,,,,
87,0X57,,PF_7,,,,,,,,,,
88,0X58,,PF_8,,,,,,,,,,
89,0X59,,PF_9,,,,,,,,,,
90,0x5A,,PF_10,,,,,,,,,,
91,0x5B,,PF_11,,,,,,,,,,
92,0x5C,,PF_12,,,,,,,,,,
93,0x5D,,PF_13,,,,,,,,,,
94,0x5E,,PF_14,,,,,,,,,,
95,0x5F,,PF_15,,,,,,,,,,
96,0X60,,PG_0,,,,,,,,,,
97,0X61,,PG_11,,,,,,,,,,
98,0X62,,PG_2,,,,,,,,,,
99,0X63,,PG_3,J2_56,,,,,,GPIO_5,,,
100,0X64,,PG_4,,,,,,,,,,
101,0X65,,PG_5,,,,,,,,,,
102,0X66,,PG_6,,,,,,,,,,
103,0X67,,PG_7,J2_65,,,,,PWM_4,,,,
104,0X68,,PG_8,,,,,,,,,,
105,0X69,,PG_9,J2_28,,,,,,,,,
106,0X6A,,PG_10,J2_58,,,,,,GPIO_6,,,
107,0X6B,,PG_11,,,,,,,,,,
108,0X6C,,PG_12,,,,,,,,,,
109,0X6D,,PG_13,,,,,,,,,,
110,0X6E,,PG_14,J2_26,,,,,,,,,
111,0X6F,,PG_15,,,,,,,,,,
112,0X70,,PH_0,,,,,,,,,,
113,0X71,,PH_1,,,,,,,,,,
114,0X72,,PH_2,,,,,,,,,,
115,0X73,,PH_3,,,,,,,,,,
116,0X74,,PH_4,,,,,,,,,,
117,0X75,,PH_5,,,,,,,,,,
118,0X76,,PH_6,J2_68,,,,,,,,,
119,0X77,,PH_7,J1_46,,,,,,,,,
120,0X78,,PH_8,J1_44,,,,,,,,,
121,0X79,,PH_9,J2_16,J2_16?,,,,,,,,
122,0X7A,,PH_10,J2_14,,,,,,,,,
123,0X7B,,PH_11,J2_47,,,,,,,,,
124,0X7C,,PH_12,J2_45,,,,,,,,,
125,0X7D,,PH_13,J1_49,,,,,,,,,
126,0X7E,,PH_14,J2_8,,,,,,,,,
127,0X7F,,PH_15,J2_62,,,,,,,,,
128,0X80,,PI_0,J2_36,,,,,,,,,
129,0X81,,PI_1,J2_38,,,,,,,,,
130,0X82,,PI_2,J1_60,,,,,,,,,
131,0X83,,PI_3,J1_62,,,,,,,,,
132,0X84,,PI_4,J2_6,,,,,,,,,
133,0X85,,PI_5,J2_18,,,,,,,,,
134,0X86,,PI_6,J2_4,,,,,,,,,
135,0X87,,PI_7,J2_2,J2_51??,,,,,,,,
136,0X88,,PI_8,J2_3,,,,,,,,,
137,0X89,,PI_9,J1_36,,,,,,,,,
138,0X8A,,PI_10,,,,,,,,,,
139,0X8B,,PI_11,,,,,,,,,,
140,0X8C,,PI_12,,,,,,,,,,
141,0X8D,,PI_13,J1_40,,,,,,,,,
142,0X8E,,PI_14,J1_37,,,,,,,,,
143,0X8F,,PI_15,J1_39,,,,,,,,,
144,0X90,,PJ_0,,,,,,,,,,
145,0X91,,PJ_1,,,,,,,,,,
146,0X92,,PJ_2,,,,,,,,,,
147,0X93,,PJ_3,,,,,,,,,,
148,0X94,,PJ_4,,,,,,,,,,
149,0X95,,PJ_5,,,,,,,,,,
150,0X96,,PJ_6,,,,,,,,,,
151,0X97,,PJ_7,J2_64,,,,,,,,,
152,0X98,,PJ_8,J2_25,,,,,,,,,
153,0X99,,PJ_9,J2_27,,,,,,,,,
154,0X9A,,PJ_10,J2_66,,,,,,,,,
155,0X9B,,PJ_11,J2_67,,,,,,,,,
156,0X9C,,PJ_12,,,,,,,,,,
157,0X9D,,PJ_13,,,,,,,,,,
158,0X9E,,PJ_14,,,,,,,,,,
159,0X9F,,PJ_15,,,,,,,,,,
160,0XA0,,PK_0,,,,,,,,,,
161,0XA1,,PK_1,J2_60,,,,,,,,,
162,0XA2,,PK_2,,,,,,,,,,
163,0XA3,,PK_3,,,,,,,,,,
164,0XA4,,PK_4,,,,,,,,,,
165,0XA5,,PK_5,,,,,,,,,,
166,0XA6,,PK_6,,,,,,,,,,
167,0XA7,,PK_7,,,,,,,,,,
