High Density Connector,OpenMV,Python,Arduino 1,Arduino 2,Arduino 3,Arduino 4,Original Order,Descriptions
J1-01,ETH A P,,ETH A+,21-Tx_p,,,1,
J1-02,,,,,,,41,
J1-03,ETH A N,,ETH A-,20-Tx_n,,,2,
J1-04,,,,,,,42,
J1-05,ETH B P,,ETH B+,23-Rx_p,,,3,
J1-06,,,,,,,43,
J1-07,ETH B N,,ETH B-,22-Rx_n,,,4,
J1-08,,,,,,,44,
J1-09,ETH C P,, ,,,,5,
J1-10,,,DSI D1+,DSI_D1P,,,45,
J1-11,ETH C N,, ,,,,6,
J1-12,,,DSI D1-,DSI_D1N,,,46,
J1-13,ETH D P,, ,,,,7,
J1-14,,,DSI D0+,DSI_D0P,,,47,
J1-15,ETH D N,,,,,,8,
J1-16,,,DSI D0-,DSI_D0N,,,48,
J1-17,,,ETH L1,3-LED1,,,9,
J1-18,CAM_CK_P,,DSI CK-,DSI_CKP,,,49,
J1-19,,,ETH L2,2-LED2,,,10,
J1-20,,,DSI CK+,DSI_CKN,,,50,
J1-21,,,VIN,,,,11,
J1-22,,,GND,,,,51,
J1-23,,,USB1 VBUS,22-HSU-VBUS,,,12,
J1-24,,,,,,,52,
J1-25,,,USB1 D+,18-HSU-DP,,,13,
J1-26,,,USB0 D+,PA12,,,53,
J1-27,,,USB1 D-,19-HSU-DN,,,14,
J1-28,,,USB0 D-,PA11,,,54,
J1-29,,,USB1 ID,23-OTG-EN,,,15,
J1-30,,,,,,,55,
J1-31,,,GND,,,,16,
J1-32,,,VIN,,,,56,
J1-33,,UART1_TX,UART1 TX,PA9,D14,,17,
J1-34,,UART4_TX,UART0 TX,PA0, ,,57,
J1-35,,UART1_RX,UART1 RX,PA10,D13,,18,
J1-36,,UART4_RX,UART0 RX,PI9,,,58,
J1-37,,,UART1 RTS,PI14,,,19,
J1-38,,,UART0 RTS,PI10, ,,59,
J1-39,,,UART1 CTS,PI15,,,20,
J1-40,,,UART0 CTS,PI13,,,60,
J1-41,,,VIN,,,,21,
J1-42,,,GND,,,,61,
J1-43,,,I2C1 SDA,PB7,,,22,
J1-44,I2C3-SDA,,I2C0 SDA,PH8,D11,,62,
J1-45,,,I2C1 SD6,PB6,,,23,
J1-46,I2C3-SCL,,I2C0 SCL,PH7,D12,,63,
J1-47,,,GND,,,,24,
J1-48,,,VIN,,,,64,
J1-49,,,CAN1 TX,PH13,,,25,
J1-50,,,,,,,65,
J1-51,,,CAN1 RX,PB8,,,26,
J1-52,,,,,,,66,
J1-53,,,VSYS,,,,27,
J1-54,,,GND,,,,67,
J1-55,,,SDC CLK,PD6,,,28,
J1-56,,,I2S MCK,PD3,,,68,
J1-57,,,SDC CMD,PD7,,,29,
J1-58,,,I2S WS,PB9,,,69,
J1-59,,,SDC D0,PB14,,,30,
J1-60,,,I2S DI,PI2,,,70,
J1-61,,,SDC D1,PB15,,,31,
J1-62,,,I2S DO,PI3,,,71,
J1-63,,,SDC D2,PB3 (JTDO/TRACESWO),,,32,
J1-64,,,VSYS,,,,72,
J1-65,,,SDC D3,PB4 (NJTRST),,,33,
J1-66,PDM-CK,,DMIC CK,PE2,,,73,
J1-67,,,,,,,34,
J1-68,PDM-D0,,DMIC D0,PB2,,,74,
J1-69,,,,,,,35,
J1-70,,,,,,,75,
J1-71,,,,,,,36,
J1-72,,,V-SDCARD,,,,76,
J1-73,,,RESET,NRST,,,37,
J1-74,,,,,,,77,
J1-75,,,SWDIO,PA13 (JTMS/SWDIO),,,38,
J1-76,,,,,,,78,
J1-77,,,SWCK,PA14 (JTCK/SWCLK),,,39,
J1-78,,,,,,,79,
J1-79,,,SWO,PB3 (JTDO/TRACESWO),,,40,
J1-80,,,,,,,80,
J2-01,,,FORCE_BOOTLOADER,BOOT0,,,160,
J2-02,Cam D3 P,,CAM D7,PI7,,,120,
J2-03,,,BOOT_SOURCE,PI8,,,159,
J2-04,Cam D3 N,,CAM D6,PI6,,,119,
J2-05,,,POWER_ON_REQ,6-PWRON,,,158,
J2-06,Cam D2 P,,CAM D5,PI4,,,118,
J2-07,,,COINCELL ,31-LICELL,,,157,
J2-08,Cam D2 N,,CAM D4,PH14,,,117,
J2-09,,,,,,,156,
J2-10,Cam D1 P,,CAM D3,PH12,,,116,
J2-11,,,,,,,155,
J2-12,Cam D1 N,,CAM D2,PH11,,,115,
J2-13,,,,,,,154,
J2-14,Cam D0 P,,CAM D1,PH10,,,114,
J2-15,,,,,,,153,
J2-16,Cam D0 N,,CAM D0,PH9,,,113,
J2-17,,,,,,,152,
J2-18,Cam CK P,,CAM VS,PI5,,,112,
J2-19,,,,,,,151,
J2-20,Cam CK N,,CAM CLK,PA6,,,111,
J2-21,,,,,,,150,
J2-22,CAM_HS,,CAM HS,PA4,,,110,
J2-23,,,VCC/+3V3,,,,149,
J2-24,,,GND,,,,109,
J2-25,,UART8_TX,UART3 TX,PJ8,,,148,
J2-26,,UART6_TX,UART2 TX,PG14,,,108,
J2-27,,UART8_RX,UART3 RX,PJ9,,,147,
J2-28,,UART6_RX,UART2 RX,PG9,,,107,
J2-29,,,,,,,146,
J2-30,,,,,,,106,
J2-31,,,,,,,145,
J2-32,,,,,,,105,
J2-33,,,GND,,,,144,
J2-34,,,VCC,,,,104,
J2-35,,,,,,,143,
J2-36,,,SPI1 CS,PI0,D7,,103,
J2-37,,,,,,,142,
J2-38,,,SPI1 CK,PI1,D9,,102,
J2-39,,,,,,,141,
J2-40,,,SPI1 MISO,PC2,D10,,101,
J2-41,,,,,,,140,
J2-42,,,SPI1 MOSI,PC3,D8,,100,
